id,timestamp_utc,i_value
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 10:40:16.362,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 11:40:15.482,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 12:40:15.602,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 13:40:15.674,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 14:03:11.592,3057
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 14:10:13.772,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 14:53:08.282,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 15:35:03.772,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 15:40:16.752,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 16:06:30.422,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 16:11:02.232,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 16:40:18.862,3058
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 16:42:16.822,3059
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 17:40:22.982,3059
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 18:40:16.092,3059
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 19:40:16.165,3059
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 19:53:20.292,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 20:40:16.279,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 21:40:16.442,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 22:40:17.562,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-25 23:40:17.672,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 00:40:17.792,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 01:40:17.902,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 02:40:21.022,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 03:23:32.012,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 04:11:02.302,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 04:23:58.332,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 04:40:17.891,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 05:40:20.009,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 06:40:19.172,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 07:40:19.247,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 08:01:00.302,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 08:40:22.302,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 09:02:19.372,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 09:40:20.612,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:27:00.332,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:32:00.542,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:40:13.762,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:40:23.687,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:50:06.972,3060
